id,price,brand,model,year,title_status,mileage,color,state,country,condition,car_age,price_per_mile,mileage_category,age_group,brand_name,brand_tier,is_salvage
19,38100,ford,door,2013,clean vehicle,54380.0,gray,virginia,usa,22 hours left,13,0.7006123462238649,Medium,Old,Ford,Mid,0
20,12520,gmc,door,2017,clean vehicle,30114.0,white,california,usa,20 hours left,9,0.41573966461896067,Medium,Old,Gmc,Mid,0
21,7300,kia,forte,2018,clean vehicle,38823.0,black,north carolina,usa,2 days left,8,0.18802802390274057,Medium,Old,Kia,Mid,0
22,15000,chevrolet,door,2015,clean vehicle,61578.0,black,ohio,usa,2 days left,11,0.2435895353935595,Medium,Old,Chevrolet,Mid,0
23,6180,ford,mpv,2017,clean vehicle,46010.0,blue,texas,usa,2 days left,9,0.13431570711351634,Medium,Old,Ford,Mid,0
24,20800,ford,door,2013,clean vehicle,105510.0,silver,virginia,usa,22 hours left,13,0.1971358436561117,High,Old,Ford,Mid,0
25,11900,gmc,door,2017,clean vehicle,28040.0,silver,california,usa,20 hours left,9,0.42437858849541743,Low,Old,Gmc,Mid,0
26,21500,kia,sorento,2020,clean vehicle,11451.0,blue,north carolina,usa,2 days left,6,1.877401327279078,Low,Recent,Kia,Mid,0
27,12000,buick,door,2014,clean vehicle,31039.0,brown,ohio,usa,2 days left,12,0.3865979381443299,Medium,Old,Buick,Mid,0
28,4190,ford,doors,2017,clean vehicle,44174.0,white,texas,usa,2 days left,9,0.09485002829654782,Medium,Old,Ford,Mid,0
29,13000,ford,chassis,2008,clean vehicle,93698.0,white,tennessee,usa,22 hours left,18,0.13874214239212798,High,Classic,Ford,Mid,0
30,12710,gmc,door,2017,clean vehicle,26364.0,silver,california,usa,20 hours left,9,0.4820785131803527,Low,Old,Gmc,Mid,0
31,18500,infiniti,q70,2016,clean vehicle,71967.0,gray,new york,usa,19 hours left,10,0.2570586927523344,Medium,Old,Infiniti,Luxury,0
33,5330,ford,mpv,2017,clean vehicle,37792.0,no_color,texas,usa,2 days left,9,0.14103140793268595,Medium,Old,Ford,Mid,0
34,13000,ford,convertible,2003,clean vehicle,58817.0,gray,virginia,usa,22 hours left,23,0.22102077595293956,Medium,Classic,Ford,Mid,0
35,11900,gmc,door,2017,clean vehicle,27965.0,black,california,usa,20 hours left,9,0.4255166988486019,Low,Old,Gmc,Mid,0
36,16600,mercedes-benz,vans,2016,clean vehicle,110907.0,white,new york,usa,19 hours left,10,0.14967360334691818,High,Old,Mercedes-Benz,Economy,0
37,19200,chevrolet,1500,2018,clean vehicle,2430.0,white,tennessee,usa,22 hours left,8,7.897984368572604,Low,Old,Chevrolet,Mid,0
38,7320,ford,mpv,2017,clean vehicle,32366.0,gold,texas,usa,2 days left,9,0.22615627027528037,Medium,Old,Ford,Mid,0
39,7000,ford,pk,2003,clean vehicle,176567.0,white,tennessee,usa,22 hours left,23,0.03964478274659055,Very High,Classic,Ford,Mid,0
40,12710,gmc,door,2017,clean vehicle,30049.0,white,california,usa,20 hours left,9,0.4229617304492512,Medium,Old,Gmc,Mid,0
41,16600,mercedes-benz,vans,2016,clean vehicle,97983.0,white,new york,usa,19 hours left,10,0.16941541476159372,High,Old,Mercedes-Benz,Economy,0
42,30500,chevrolet,1500,2018,clean vehicle,30442.0,red,tennessee,usa,22 hours left,8,1.001872351607923,Medium,Old,Chevrolet,Mid,0
43,6330,ford,mpv,2017,clean vehicle,38123.0,red,texas,usa,2 days left,9,0.16603714195782185,Medium,Old,Ford,Mid,0
44,55000,ford,srw,2017,clean vehicle,15273.0,black,pennsylvania,usa,3 days left,9,3.6008904019903105,Low,Old,Ford,Mid,0
45,12520,gmc,door,2017,clean vehicle,28972.0,black,california,usa,20 hours left,9,0.4321264625685983,Low,Old,Gmc,Mid,0
46,16200,jeep,compass,2019,clean vehicle,30061.0,red,north carolina,usa,2 days left,7,0.5388863016432706,Medium,Recent,Jeep,Mid,0
47,19000,chevrolet,malibu,2017,clean vehicle,18414.0,white,tennessee,usa,22 hours left,9,1.031767580776541,Low,Old,Chevrolet,Mid,0
48,5580,dodge,mpv,2017,clean vehicle,46829.0,gray,texas,usa,2 days left,9,0.11915438821268418,Medium,Old,Dodge,Mid,0
49,54000,ford,srw,2017,clean vehicle,26241.0,black,pennsylvania,usa,3 days left,9,2.0577699870436703,Low,Old,Ford,Mid,0
50,12710,gmc,mpv,2017,clean vehicle,39886.0,red,california,usa,20 hours left,9,0.31865018677764684,Medium,Old,Gmc,Mid,0
51,16000,jeep,compass,2019,clean vehicle,31594.0,silver,north carolina,usa,2 days left,7,0.5064092419686659,Medium,Recent,Jeep,Mid,0
52,27000,buick,enclave,2017,clean vehicle,32107.0,no_color,tennessee,usa,22 hours left,9,0.8409119222623646,Medium,Old,Buick,Mid,0
53,7760,ford,mpv,2017,clean vehicle,44794.0,gray,texas,usa,2 days left,9,0.17323361982364102,Medium,Old,Ford,Mid,0
54,19600,chrysler,300,2019,clean vehicle,42648.0,gray,south carolina,usa,22 hours left,7,0.459565288752374,Medium,Recent,Chrysler,Mid,0
55,12920,gmc,mpv,2017,clean vehicle,39165.0,silver,california,usa,20 hours left,9,0.3298779553694531,Medium,Old,Gmc,Mid,0
56,20000,jeep,cherokee,2019,clean vehicle,38355.0,charcoal,north carolina,usa,2 days left,7,0.5214308061320263,Medium,Recent,Jeep,Mid,0
57,18100,buick,door,2017,clean vehicle,46766.0,silver,florida,usa,2 days left,9,0.38702503902324287,Medium,Old,Buick,Mid,0
58,23000,chrysler,pacifica,2020,clean vehicle,2473.0,white,ohio,usa,2 days left,6,9.296685529506872,Low,Recent,Chrysler,Mid,0
59,18500,chrysler,300,2019,clean vehicle,38586.0,gray,south carolina,usa,22 hours left,7,0.4794360795086428,Medium,Recent,Chrysler,Mid,0
60,13490,gmc,door,2017,clean vehicle,27842.0,white,california,usa,20 hours left,9,0.48450238839205545,Low,Old,Gmc,Mid,0
61,20700,jeep,cherokee,2019,clean vehicle,31156.0,white,north carolina,usa,2 days left,7,0.6643771865070449,Medium,Recent,Jeep,Mid,0
62,17800,chevrolet,door,2017,clean vehicle,52435.0,black,florida,usa,22 hours left,9,0.33946143870623235,Medium,Old,Chevrolet,Mid,0
63,6650,ford,door,2017,clean vehicle,29942.0,black,texas,usa,2 days left,9,0.22208863507330595,Low,Old,Ford,Mid,0
64,29100,chrysler,pacifica,2019,clean vehicle,25281.0,red,south carolina,usa,22 hours left,7,1.1510165335020963,Low,Recent,Chrysler,Mid,0
65,12710,gmc,door,2017,clean vehicle,32504.0,silver,california,usa,20 hours left,9,0.39101676665128443,Medium,Old,Gmc,Mid,0
66,21100,jeep,cherokee,2019,clean vehicle,28649.0,silver,north carolina,usa,2 days left,7,0.7364746945898778,Low,Recent,Jeep,Mid,0
67,18600,chevrolet,door,2017,clean vehicle,35200.0,white,florida,usa,22 hours left,9,0.5283940797136445,Medium,Old,Chevrolet,Mid,0
68,4340,ford,door,2017,clean vehicle,25602.0,silver,texas,usa,2 days left,9,0.16951138538452526,Low,Old,Ford,Mid,0
69,19300,chrysler,300,2019,clean vehicle,34801.0,gray,south carolina,usa,22 hours left,7,0.5545658295500259,Medium,Recent,Chrysler,Mid,0
70,12780,gmc,door,2017,clean vehicle,31009.0,black,california,usa,20 hours left,9,0.41212512092873266,Medium,Old,Gmc,Mid,0
71,15800,jeep,compass,2019,clean vehicle,35595.0,charcoal,north carolina,usa,2 days left,7,0.44387009776379366,Medium,Recent,Jeep,Mid,0
72,29400,bmw,x3,2017,clean vehicle,23765.0,black,tennessee,usa,22 hours left,9,1.237061348144408,Low,Old,Bmw,Luxury,0
73,4430,ford,door,2017,clean vehicle,31792.0,black,texas,usa,2 days left,9,0.13933884817412637,Medium,Old,Ford,Mid,0
74,19400,chrysler,300,2019,clean vehicle,33135.0,gray,south carolina,usa,22 hours left,7,0.585465958474167,Medium,Recent,Chrysler,Mid,0
75,12520,gmc,door,2017,clean vehicle,30636.0,red,california,usa,20 hours left,9,0.40865620001958414,Medium,Old,Gmc,Mid,0
76,15900,jeep,compass,2019,clean vehicle,34502.0,red,north carolina,usa,2 days left,7,0.4608294930875576,Medium,Recent,Jeep,Mid,0
77,26400,buick,door,2017,clean vehicle,25434.0,white,florida,usa,22 hours left,9,1.0379398466679772,Low,Old,Buick,Mid,0
78,4140,ford,door,2017,clean vehicle,36732.0,black,texas,usa,2 days left,9,0.1127051969618599,Medium,Old,Ford,Mid,0
79,18300,chrysler,300,2019,clean vehicle,41792.0,gray,south carolina,usa,22 hours left,7,0.4378723709712153,Medium,Recent,Chrysler,Mid,0
80,12520,gmc,door,2017,clean vehicle,31992.0,black,california,usa,20 hours left,9,0.39133560466352013,Medium,Old,Gmc,Mid,0
81,17900,jeep,compass,2019,clean vehicle,32501.0,red,north carolina,usa,2 days left,7,0.5507353393637314,Medium,Recent,Jeep,Mid,0
82,18300,chevrolet,camaro,2017,clean vehicle,28395.0,black,florida,usa,22 hours left,9,0.6444569657698267,Low,Old,Chevrolet,Mid,0
83,4640,ford,door,2017,clean vehicle,36139.0,blue,texas,usa,2 days left,9,0.1283895960154953,Medium,Old,Ford,Mid,0
84,24000,ford,door,2016,clean vehicle,84413.0,black,pennsylvania,usa,3 days left,10,0.2843130286445376,High,Old,Ford,Mid,0
85,13200,gmc,door,2017,clean vehicle,33457.0,white,california,usa,20 hours left,9,0.3945244784505948,Medium,Old,Gmc,Mid,0
86,18000,jeep,compass,2019,clean vehicle,29245.0,gray,north carolina,usa,2 days left,7,0.6154687820556657,Low,Recent,Jeep,Mid,0
87,14900,chevrolet,equinox,2017,clean vehicle,12783.0,silver,florida,usa,22 hours left,9,1.1655193992490613,Low,Old,Chevrolet,Mid,0
88,4140,ford,door,2017,clean vehicle,17617.0,white,texas,usa,2 days left,9,0.2349869451697128,Low,Old,Ford,Mid,0
89,11500,ford,door,2016,clean vehicle,36855.0,black,pennsylvania,usa,2 days left,10,0.3120251790753202,Medium,Old,Ford,Mid,0
90,9110,ford,door,2017,clean vehicle,110316.0,white,texas,usa,2 days left,9,0.08258020069436262,High,Old,Ford,Mid,0
91,7350,chrysler,door,2015,clean vehicle,88227.0,black,pennsylvania,usa,2 days left,11,0.08330688670263409,High,Old,Chrysler,Mid,0
92,24500,bmw,door,2017,clean vehicle,17626.0,gray,michigan,usa,2 days left,9,1.389913201338855,Low,Old,Bmw,Luxury,0
93,9300,ford,door,2017,clean vehicle,120353.0,white,texas,usa,2 days left,9,0.07727204745999303,High,Old,Ford,Mid,0
94,39800,dodge,challenger,2015,clean vehicle,3641.0,white,pennsylvania,usa,2 days left,11,10.928061504667765,Low,Old,Dodge,Mid,0
95,53500,bmw,m,2017,clean vehicle,29355.0,blue,michigan,usa,2 days left,9,1.8224553753917427,Low,Old,Bmw,Luxury,0
96,15110,ford,door,2017,clean vehicle,39333.0,black,texas,usa,2 days left,9,0.3841460314231962,Medium,Old,Ford,Mid,0
97,34000,ford,door,2015,clean vehicle,42930.0,white,pennsylvania,usa,2 days left,11,0.791968507605227,Medium,Old,Ford,Mid,0
98,26502,chevrolet,colorado,2017,clean vehicle,24993.0,black,michigan,usa,20 hours left,9,1.0603344802752661,Low,Old,Chevrolet,Mid,0
99,5990,ford,mpv,2017,clean vehicle,44929.0,black,texas,usa,2 days left,9,0.13331849543734697,Medium,Old,Ford,Mid,0
100,13600,ford,focus,2018,clean vehicle,16971.0,black,south carolina,usa,21 hours left,8,0.8013198208814518,Low,Old,Ford,Mid,0
101,23605,cadillac,door,2017,clean vehicle,35598.0,gray,michigan,usa,2 days left,9,0.6630804236074047,Medium,Old,Cadillac,Luxury,0
102,10780,ford,mpv,2017,clean vehicle,40455.0,white,texas,usa,2 days left,9,0.26646232944433457,Medium,Old,Ford,Mid,0
103,13800,ford,focus,2018,clean vehicle,23164.0,white,south carolina,usa,21 hours left,8,0.5957263112454133,Low,Old,Ford,Mid,0
104,25201,cadillac,door,2017,clean vehicle,19011.0,no_color,michigan,usa,2 days left,9,1.3255312434252051,Low,Old,Cadillac,Luxury,0
105,7070,ford,mpv,2017,clean vehicle,45191.0,white,texas,usa,2 days left,9,0.15644361833952913,Medium,Old,Ford,Mid,0
106,8700,ford,focus,2018,clean vehicle,21405.0,white,south carolina,usa,21 hours left,8,0.4064281042698309,Low,Old,Ford,Mid,0
107,18003,chevrolet,malibu,2017,clean vehicle,19117.0,no_color,michigan,usa,17 hours left,9,0.941677999790773,Low,Old,Chevrolet,Mid,0
108,8530,ford,door,2017,clean vehicle,42104.0,black,texas,usa,2 days left,9,0.20258876617978863,Medium,Old,Ford,Mid,0
109,23100,dodge,durango,2018,clean vehicle,49496.0,white,south carolina,usa,21 hours left,8,0.4666949512091642,Medium,Old,Dodge,Mid,0
110,24500,cadillac,door,2017,clean vehicle,32418.0,white,michigan,usa,2 days left,9,0.7557296647027978,Medium,Old,Cadillac,Luxury,0
111,7000,ford,mpv,2017,clean vehicle,29882.0,white,texas,usa,2 days left,9,0.23424689622862496,Low,Old,Ford,Mid,0
112,17000,ford,escape,2018,clean vehicle,34819.0,gold,south carolina,usa,21 hours left,8,0.48822515795519816,Medium,Old,Ford,Mid,0
113,34002,chevrolet,1500,2017,clean vehicle,31923.0,white,michigan,usa,2 days left,9,1.0650920937225912,Medium,Old,Chevrolet,Mid,0
114,6980,ford,mpv,2017,clean vehicle,29168.0,gray,texas,usa,2 days left,9,0.23929514210291747,Low,Old,Ford,Mid,0
115,25000,dodge,charger,2018,clean vehicle,28307.0,silver,michigan,usa,21 hours left,8,0.8831425745372333,Low,Old,Dodge,Mid,0
116,20802,chevrolet,colorado,2017,clean vehicle,33791.0,turquoise,michigan,usa,2 days left,9,0.6155894886363636,Medium,Old,Chevrolet,Mid,0
117,9200,ford,door,2017,clean vehicle,21770.0,black,texas,usa,2 days left,9,0.4225804969914106,Low,Old,Ford,Mid,0
118,26500,chrysler,pacifica,2017,clean vehicle,18375.0,gray,michigan,usa,21 hours left,9,1.4420983892033086,Low,Old,Chrysler,Mid,0
119,24802,chevrolet,colorado,2017,clean vehicle,14158.0,gray,michigan,usa,2 days left,9,1.7516773783459283,Low,Old,Chevrolet,Mid,0
120,7070,ford,mpv,2017,clean vehicle,30318.0,black,texas,usa,2 days left,9,0.23318711039282297,Medium,Old,Ford,Mid,0
121,28500,ford,door,2017,clean vehicle,48086.0,red,south carolina,usa,21 hours left,9,0.592675775157527,Medium,Old,Ford,Mid,0
122,47500,cadillac,door,2017,clean vehicle,26562.0,black,michigan,usa,2 days left,9,1.788201633851598,Low,Old,Cadillac,Luxury,0
123,23500,ford,explorer,2017,clean vehicle,57611.0,black,south carolina,usa,21 hours left,9,0.4079011317086718,Medium,Old,Ford,Mid,0
124,23505,chevrolet,colorado,2017,clean vehicle,47357.0,black,michigan,usa,2 hours left,9,0.49632585835550486,Medium,Old,Chevrolet,Mid,0
125,10940,ford,door,2017,clean vehicle,84916.0,white,texas,usa,2 days left,9,0.1288316827019325,High,Old,Ford,Mid,0
126,32100,ford,f-150,2017,clean vehicle,24521.0,gray,south carolina,usa,21 hours left,9,1.3090286273550282,Low,Old,Ford,Mid,0
127,53000,chevrolet,3500,2018,clean vehicle,16105.0,black,washington,usa,21 hours left,8,3.290699118340991,Low,Old,Chevrolet,Mid,0
128,6830,ford,mpv,2017,clean vehicle,35888.0,gold,texas,usa,2 days left,9,0.19030900833124356,Medium,Old,Ford,Mid,0
129,11900,dodge,caravan,2017,clean vehicle,59537.0,gray,south carolina,usa,21 hours left,9,0.1998723504316571,Medium,Old,Dodge,Mid,0
130,26414,chevrolet,1500,2017,clean vehicle,55222.0,black,michigan,usa,20 hours left,9,0.47831519475580825,Medium,Old,Chevrolet,Mid,0
131,4160,dodge,mpv,2018,clean vehicle,32870.0,gray,florida,usa,17 hours left,8,0.12655532232058653,Medium,Old,Dodge,Mid,0
132,19405,chevrolet,door,2017,clean vehicle,39687.0,silver,michigan,usa,3 hours left,9,0.4889387220318484,Medium,Old,Chevrolet,Mid,0
133,5690,dodge,mpv,2018,clean vehicle,47085.0,silver,florida,usa,17 hours left,8,0.12084271333305016,Medium,Old,Dodge,Mid,0
134,25900,chrysler,van,2017,clean vehicle,32224.0,silver,south carolina,usa,21 hours left,9,0.8037238169123352,Medium,Old,Chrysler,Mid,0
135,24005,chevrolet,1500,2017,clean vehicle,51293.0,beige,michigan,usa,20 hours left,9,0.4679884586891254,Medium,Old,Chevrolet,Mid,0
136,5090,dodge,mpv,2018,clean vehicle,42989.0,gray,florida,usa,17 hours left,8,0.11839962782042335,Medium,Old,Dodge,Mid,0
137,19500,chrysler,300,2017,clean vehicle,31311.0,gray,arizona,usa,34 minutes,9,0.6227644353602453,Medium,Old,Chrysler,Mid,0
138,32012,chevrolet,1500,2017,clean vehicle,46091.0,white,michigan,usa,2 days left,9,0.6945239954872863,Medium,Old,Chevrolet,Mid,0
139,6800,dodge,dart,2016,clean vehicle,49033.0,black,michigan,usa,2 days left,10,0.1386792837622874,Medium,Old,Dodge,Mid,0
140,4260,dodge,mpv,2018,clean vehicle,33957.0,gray,florida,usa,16 hours left,8,0.12544908416278933,Medium,Old,Dodge,Mid,0
142,31802,chevrolet,2500,2017,clean vehicle,19845.0,silver,michigan,usa,20 hours left,9,1.6024387785951828,Low,Old,Chevrolet,Mid,0
143,7210,dodge,doors,2018,clean vehicle,38910.0,black,florida,usa,16 hours left,8,0.18529464675798618,Medium,Old,Dodge,Mid,0
145,28402,chevrolet,1500,2017,clean vehicle,31234.0,black,michigan,usa,2 days left,9,0.909300464222827,Medium,Old,Chevrolet,Mid,0
146,6800,dodge,doors,2018,clean vehicle,36767.0,gray,florida,usa,16 hours left,8,0.18494342906875544,Medium,Old,Dodge,Mid,0
147,33300,cadillac,esv,2015,clean vehicle,57932.0,gray,washington,usa,21 hours left,11,0.5748019263632127,Medium,Old,Cadillac,Luxury,0
148,10780,dodge,mpv,2018,clean vehicle,19420.0,white,florida,usa,16 hours left,8,0.5550692549302302,Low,Old,Dodge,Mid,0
149,6700,ford,cutaway,2014,clean vehicle,204155.0,beige,pennsylvania,usa,3 days left,12,0.03281804110582104,Very High,Old,Ford,Mid,0
150,20000,chevrolet,1500,2016,clean vehicle,93493.0,white,washington,usa,21 hours left,10,0.21391747063982716,High,Old,Chevrolet,Mid,0
151,6440,chrysler,doors,2018,clean vehicle,20942.0,gray,florida,usa,17 hours left,8,0.3075013130879053,Low,Old,Chrysler,Mid,0
152,19900,ford,door,2016,clean vehicle,86826.0,gray,south carolina,usa,21 hours left,10,0.22919138056134614,High,Old,Ford,Mid,0
153,37000,chevrolet,door,2015,clean vehicle,45787.0,white,washington,usa,21 hours left,11,0.8080719839259195,Medium,Old,Chevrolet,Mid,0
154,4040,dodge,mpv,2018,clean vehicle,50765.0,red,florida,usa,16 hours left,8,0.07958082180987275,Medium,Old,Dodge,Mid,0
155,22300,ford,explorer,2016,clean vehicle,62774.0,black,south carolina,usa,21 hours left,10,0.355236957387495,Medium,Old,Ford,Mid,0
156,31200,chevrolet,door,2011,clean vehicle,76326.0,gray,washington,usa,21 hours left,15,0.408767539664863,Medium,Old,Chevrolet,Mid,0
157,4290,dodge,mpv,2018,clean vehicle,39029.0,white,florida,usa,16 hours left,8,0.10991544965411222,Medium,Old,Dodge,Mid,0
158,22800,ford,el,2016,clean vehicle,72885.0,silver,south carolina,usa,21 hours left,10,0.3128172762944873,Medium,Old,Ford,Mid,0
159,19002,cadillac,door,2016,clean vehicle,46467.0,white,michigan,usa,20 hours left,10,0.40892657312559183,Medium,Old,Cadillac,Luxury,0
160,4160,dodge,mpv,2018,clean vehicle,6743.0,gray,florida,usa,16 hours left,8,0.6168446026097272,Low,Old,Dodge,Mid,0
161,18500,ford,edge,2016,clean vehicle,33514.0,white,south carolina,usa,21 hours left,10,0.5519916455318514,Medium,Old,Ford,Mid,0
162,39000,bmw,series,2016,clean vehicle,39917.0,blue,michigan,usa,2 days left,10,0.9770028558545018,Medium,Old,Bmw,Luxury,0
163,6060,dodge,doors,2018,clean vehicle,32504.0,black,florida,usa,18 hours left,8,0.1864328564836179,Medium,Old,Dodge,Mid,0
164,28800,ford,door,2016,clean vehicle,77638.0,white,south carolina,usa,21 hours left,10,0.3709475907726787,Medium,Old,Ford,Mid,0
165,40000,bmw,series,2016,clean vehicle,31727.0,gray,michigan,usa,2 days left,10,1.2607160867372669,Medium,Old,Bmw,Luxury,0
166,6140,dodge,doors,2018,clean vehicle,52966.0,silver,florida,usa,16 hours left,8,0.11592123397587177,Medium,Old,Dodge,Mid,0
167,21000,ford,flex,2016,clean vehicle,24157.0,gray,south carolina,usa,21 hours left,10,0.8692772580511632,Low,Old,Ford,Mid,0
168,20105,buick,door,2016,clean vehicle,51393.0,beige,michigan,usa,20 hours left,10,0.39119352453593803,Medium,Old,Buick,Mid,0
169,6760,dodge,doors,2018,clean vehicle,35461.0,white,florida,usa,16 hours left,8,0.1906265862049518,Medium,Old,Dodge,Mid,0
170,25800,ford,door,2014,clean vehicle,47055.0,brown,pennsylvania,usa,1 days left,12,0.5482828969738184,Medium,Old,Ford,Mid,0
171,39000,bmw,series,2016,clean vehicle,33110.0,black,michigan,usa,2 days left,10,1.1778563015312131,Medium,Old,Bmw,Luxury,0
172,5470,dodge,mpv,2018,clean vehicle,39721.0,black,florida,usa,16 hours left,8,0.13770706409546346,Medium,Old,Dodge,Mid,0
173,14600,ford,door,2014,clean vehicle,75785.0,black,pennsylvania,usa,21 hours left,12,0.19264771857599028,Medium,Old,Ford,Mid,0
174,24502,chevrolet,1500,2016,clean vehicle,33624.0,black,michigan,usa,20 hours left,10,0.7286840148698884,Medium,Old,Chevrolet,Mid,0
175,15110,ford,door,2017,clean vehicle,42289.0,white,texas,usa,2 days left,9,0.357294868763301,Medium,Old,Ford,Mid,0
176,7900,ford,door,2014,clean vehicle,79422.0,white,new york,usa,21 hours left,12,0.09946740868514159,Medium,Old,Ford,Mid,0
177,27305,chevrolet,door,2016,clean vehicle,28844.0,blue,michigan,usa,3 hours left,10,0.9466111977812446,Low,Old,Chevrolet,Mid,0
178,15290,ford,door,2017,clean vehicle,66582.0,white,texas,usa,2 days left,9,0.22963819593589954,Medium,Old,Ford,Mid,0
179,26500,ford,door,2015,clean vehicle,61436.0,silver,south carolina,usa,21 hours left,11,0.43133616550287285,Medium,Old,Ford,Mid,0
180,25502,chevrolet,door,2016,clean vehicle,58303.0,silver,michigan,usa,20 hours left,10,0.4373970911086718,Medium,Old,Chevrolet,Mid,0
181,7320,ford,mpv,2017,clean vehicle,55618.0,white,texas,usa,2 days left,9,0.13160970172063505,Medium,Old,Ford,Mid,0
182,3800,chevrolet,van,2009,clean vehicle,261648.0,white,michigan,usa,2 days left,17,0.014523273545857236,Very High,Classic,Chevrolet,Mid,0
183,24502,chevrolet,door,2016,clean vehicle,33045.0,white,michigan,usa,20 hours left,10,0.7414513102947407,Medium,Old,Chevrolet,Mid,0
184,4140,ford,door,2017,clean vehicle,40747.0,white,texas,usa,2 days left,9,0.10160007853146166,Medium,Old,Ford,Mid,0
185,1400,dodge,pk,2002,clean vehicle,185460.0,black,michigan,usa,2 days left,24,0.007548756881500693,Very High,Classic,Dodge,Mid,0
186,18402,cadillac,srx,2016,clean vehicle,26667.0,gray,michigan,usa,2 days left,10,0.6900404979751013,Low,Old,Cadillac,Luxury,0
187,4160,ford,door,2017,clean vehicle,37176.0,white,texas,usa,2 days left,9,0.11189714070527476,Medium,Old,Ford,Mid,0
188,175,chrysler,door,2000,salvage insurance,231240.0,red,north carolina,usa,3 days left,26,0.000756786210057905,Very High,Classic,Chrysler,Mid,0
189,24503,chevrolet,colorado,2016,clean vehicle,18006.0,brown,michigan,usa,20 hours left,10,1.3607485977675349,Low,Old,Chevrolet,Mid,0
190,15840,ford,door,2017,clean vehicle,72445.0,white,texas,usa,2 days left,9,0.21864561190403886,Medium,Old,Ford,Mid,0
191,20500,ford,door,2014,clean vehicle,123355.0,black,south carolina,usa,21 hours left,12,0.16618567398424072,High,Old,Ford,Mid,0
192,21003,chevrolet,1500,2016,clean vehicle,44116.0,silver,michigan,usa,32 minutes,10,0.47607498243307567,Medium,Old,Chevrolet,Mid,0
193,4200,ford,door,2017,clean vehicle,60219.0,red,texas,usa,2 days left,9,0.0697442710063102,Medium,Old,Ford,Mid,0
194,17400,ford,door,2011,clean vehicle,135077.0,red,georgia,usa,21 hours left,15,0.12881446275485275,High,Old,Ford,Mid,0
195,32001,chevrolet,door,2016,clean vehicle,32058.0,black,michigan,usa,2 days left,10,0.9981908356467762,Medium,Old,Chevrolet,Mid,0
197,15700,ford,cab,2011,clean vehicle,309564.0,white,south carolina,usa,21 hours left,15,0.05071632775023016,Very High,Old,Ford,Mid,0
198,31009,chevrolet,door,2016,clean vehicle,33928.0,white,michigan,usa,2 days left,10,0.9139379292051047,Medium,Old,Chevrolet,Mid,0
199,3740,ford,wagon,2017,clean vehicle,90618.0,white,texas,usa,2 days left,9,0.041271697988280606,High,Old,Ford,Mid,0
