name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage(km/ltr/kg),engine
mercedes-benz new c-class 220 cdi at,2013,1425000,59000,diesel,dealer,automatic,first owner,14.84,2143.0
tata manza elan quadrajet bs iv,2011,265000,120000,diesel,individual,manual,first owner,21.12,1248.0
hyundai i10 magna,2011,190000,110000,petrol,individual,manual,third owner,20.36,1197.0
hyundai i20 asta 1.4 crdi,2013,425000,60000,diesel,individual,manual,first owner,21.27,1396.0
maruti swift dzire zdi,2015,630000,147000,diesel,individual,manual,second owner,26.59,1248.0
ford figo 1.2p titanium mt,2017,600000,25000,petrol,individual,manual,third owner,18.16,1196.0
maruti baleno delta 1.2,2019,650000,30000,petrol,individual,manual,first owner,21.4,1197.0
volkswagen ameo 1.5 tdi highline 16 alloy,2016,540000,40000,diesel,individual,manual,first owner,22.0,1498.0
honda city i dtec vx,2015,630000,135000,diesel,individual,manual,first owner,25.1,1498.0
maruti wagon r amt vxi,2018,448000,30000,petrol,individual,automatic,first owner,20.51,998.0
volkswagen ameo 1.5 tdi comfortline,2017,500000,80000,diesel,individual,manual,first owner,21.66,1498.0
maruti vitara brezza vdi,2016,745000,70000,diesel,individual,manual,first owner,24.3,1248.0
maruti vitara brezza zdi plus amt,2019,1025000,9850,diesel,individual,automatic,first owner,24.3,1248.0
hyundai i10 magna,2011,235000,60000,petrol,individual,manual,second owner,20.36,1197.0
maruti swift vdi deca,2016,630000,70000,diesel,individual,manual,first owner,25.2,1248.0
toyota fortuner 4x4 mt,2015,1700000,78000,diesel,individual,manual,second owner,12.55,2982.0
maruti swift star vdi,2013,450000,120000,diesel,individual,manual,second owner,22.9,1248.0
maruti ertiga zxi,2012,450000,120000,petrol,individual,manual,second owner,16.02,1373.0
tata indica dls,2003,50000,70000,diesel,individual,manual,first owner,19.462816502829906,1430.789693178433
volkswagen vento diesel highline,2013,450000,170000,diesel,individual,manual,first owner,20.54,1598.0
toyota innova 2.5 vx (diesel) 8 seater,2016,1200000,140000,diesel,individual,manual,first owner,12.99,2494.0
ford ecosport 1.5 tdci titanium plus bsiv,2015,610000,90000,diesel,individual,manual,first owner,22.77,1498.0
bmw x1 sdrive20i xline,2016,2500000,30000,petrol,individual,automatic,second owner,15.71,1998.0
maruti celerio zxi mt bsiv,2017,484999,10000,petrol,dealer,manual,first owner,23.1,998.0
datsun go a petrol,2016,275000,49000,petrol,dealer,manual,first owner,19.02,1198.0
maruti alto 800 vxi bsiv,2016,315000,32000,petrol,dealer,manual,first owner,24.7,796.0
maruti alto 800 lxi bsiv,2016,275000,38000,petrol,dealer,manual,first owner,24.7,796.0
maruti swift vdi bsiv w abs,2015,475000,78000,diesel,dealer,manual,first owner,19.462816502829906,1430.789693178433
hyundai i10 era 1.1,2012,290000,28000,petrol,dealer,manual,first owner,19.81,1086.0
maruti omni 8 seater bsiv,2017,280000,32000,petrol,dealer,manual,first owner,14.0,796.0
maruti wagon r lxi lpg bsiv,2010,225000,44000,lpg,dealer,manual,first owner,26.2,998.0
volkswagen polo 1.2 mpi comfortline,2015,455000,42000,petrol,dealer,manual,first owner,16.47,1198.0
hyundai i10 magna 1.1l,2015,351000,45000,petrol,dealer,manual,second owner,19.81,1086.0
volkswagen vento petrol highline,2012,535000,12000,petrol,dealer,manual,second owner,15.04,1598.0
maruti zen estilo lxi bsiii,2009,175000,55500,petrol,dealer,manual,first owner,18.2,998.0
hyundai i20 asta optional with sunroof 1.2,2013,525000,61500,petrol,dealer,manual,first owner,18.5,1197.0
maruti swift dzire ldi,2016,600000,150000,diesel,individual,manual,first owner,26.59,1248.0
hyundai xcent 1.2 kappa sx option at,2016,565000,72000,petrol,dealer,automatic,first owner,19.1,1197.0
maruti alto lx bsiii,2008,120000,68000,petrol,dealer,manual,third owner,19.7,796.0
hyundai i20 1.4 asta option,2017,725000,110000,diesel,individual,manual,first owner,22.54,1396.0
maruti wagon r vxi,2009,185000,77000,petrol,dealer,manual,second owner,21.79,998.0
tata manza aura (abs) quadrajet,2010,200000,100000,diesel,individual,manual,second owner,18.8,1248.0
maruti swift vxi,2019,615000,10000,petrol,individual,manual,first owner,21.21,1197.0
maruti eeco 7 seater standard bsiv,2016,270000,100000,petrol,individual,manual,third owner,15.37,1196.0
maruti baleno zeta 1.2,2018,610000,35000,petrol,individual,manual,first owner,21.4,1197.0
mahindra scorpio vlx at airbag bsiv,2014,625000,70000,diesel,individual,automatic,second owner,11.79,2179.0
ford freestyle titanium petrol bsiv,2020,400000,5000,petrol,individual,manual,second owner,19.0,1194.0
hyundai verna vtvt 1.6 sx,2017,866000,37800,petrol,individual,manual,first owner,17.0,1591.0
volkswagen passat 1.8 tsi mt,2010,700000,114000,petrol,individual,manual,first owner,14.3,1798.0
tata indica vista aura 1.2 safire (abs) bs iv,2010,300000,48000,petrol,individual,manual,first owner,15.8,1172.0
mahindra xuv500 w11 option awd,2019,1700000,32000,diesel,individual,manual,first owner,15.1,2179.0
tata indigo cs ls (tdi) bs-iii,2016,375000,100000,diesel,individual,manual,first owner,19.09,1405.0
hyundai verna 1.6 sx,2013,522000,150000,diesel,individual,manual,second owner,22.32,1582.0
hyundai i20 magna 1.4 crdi (diesel),2013,451999,69000,diesel,individual,manual,first owner,21.9,1396.0
toyota corolla altis g,2009,300000,100000,petrol,individual,manual,second owner,14.53,1798.0
maruti celerio vxi,2020,475000,13000,petrol,individual,manual,first owner,21.63,998.0
maruti vitara brezza zdi plus dual tone,2016,780000,60000,diesel,individual,manual,first owner,24.3,1248.0
maruti swift dzire vxi,2017,595000,40000,petrol,individual,manual,first owner,20.85,1197.0
maruti wagon r vxi bs iv,2017,440000,35000,petrol,individual,manual,first owner,20.51,998.0
maruti swift vdi bsiv,2010,300000,120000,diesel,individual,manual,second owner,19.462816502829906,1430.789693178433
nissan terrano xl 85 ps,2014,400000,70000,diesel,individual,manual,third owner,20.45,1461.0
hyundai creta 1.6 crdi sx,2016,1140000,50000,diesel,individual,manual,first owner,19.67,1582.0
ford ecosport 1.5 diesel titanium plus bsiv,2017,850000,76139,diesel,individual,manual,first owner,23.0,1498.0
maruti swift dzire vdi,2012,370000,175000,diesel,individual,manual,fourth & above owner,19.3,1248.0
renault kwid 1.0,2018,350000,25000,petrol,individual,manual,first owner,23.01,999.0
maruti celerio vxi,2015,360000,40000,petrol,individual,manual,second owner,23.1,998.0
maruti alto lxi,2008,105000,65000,petrol,individual,manual,fourth & above owner,19.7,796.0
maruti ertiga vdi,2013,625000,90000,diesel,individual,manual,second owner,20.77,1248.0
hyundai santro xing gls,2009,135000,80000,petrol,individual,manual,second owner,17.92,1086.0
maruti ertiga vdi,2015,700000,110000,diesel,individual,manual,second owner,20.77,1248.0
honda amaze s i-vtec,2019,690000,1303,petrol,dealer,manual,first owner,17.8,1198.0
audi q5 35tdi premium plus,2018,3975000,31800,diesel,dealer,automatic,first owner,17.01,1968.0
lexus es 300h,2019,5150000,20000,petrol,dealer,automatic,first owner,22.37,2487.0
jaguar xf 2.0 diesel portfolio,2017,3200000,45000,diesel,dealer,automatic,first owner,19.33,1999.0
jeep wrangler 2016-2019 3.6 4x4,2017,4100000,17000,petrol,individual,automatic,first owner,9.5,3604.0
land rover discovery sport td4 se,2019,4500000,21000,diesel,dealer,automatic,first owner,12.83,1999.0
mercedes-benz s-class s 350 cdi,2017,6000000,37000,diesel,dealer,automatic,first owner,13.5,2987.0
bmw 5 series 520d sport line,2018,3790000,29500,diesel,dealer,automatic,first owner,22.48,1995.0
bmw x1 sdrive 20d xline,2017,2150000,27000,diesel,dealer,automatic,first owner,19.462816502829906,1430.789693178433
bmw x4 m sport x xdrive20d,2019,5800000,7500,diesel,dealer,automatic,first owner,16.78,1995.0
skoda superb lk 1.8 tsi at,2018,1864999,50000,petrol,dealer,automatic,first owner,14.67,1798.0
mercedes-benz e-class e250 edition e,2016,2700000,35000,diesel,dealer,automatic,first owner,15.0,2143.0
mg hector sharp at bsiv,2019,1750000,19000,petrol,dealer,automatic,first owner,13.96,1451.0
honda city i-vtec cvt vx,2017,795000,41000,petrol,dealer,automatic,first owner,18.0,1497.0
toyota corolla altis 1.8 g cvt,2013,625000,39000,petrol,dealer,automatic,first owner,14.28,1798.0
volvo xc40 d4 r-design,2018,3400000,22000,diesel,dealer,automatic,first owner,18.0,1969.0
audi q7 35 tdi quattro premium,2015,2650000,53000,diesel,dealer,automatic,first owner,12.07,2967.0
maruti ciaz zdi,2015,535000,40000,diesel,dealer,manual,first owner,26.21,1248.0
mercedes-benz s-class s 350 cdi,2017,5850000,47000,diesel,dealer,automatic,first owner,13.5,2987.0
bmw 5 series 523i,2010,975000,72200,petrol,dealer,automatic,second owner,10.8,2497.0
hyundai elantra s,2016,805000,49900,petrol,dealer,manual,first owner,16.3,1797.0
jaguar xe 2016-2019 2.0l diesel prestige,2017,2625000,9000,diesel,dealer,automatic,first owner,13.6,1999.0
tata nexon 1.2 revotron xz plus dual tone,2018,811000,11000,petrol,dealer,manual,first owner,17.0,1198.0
volkswagen vento petrol highline,2011,375000,49000,petrol,individual,manual,first owner,15.04,1598.0
hyundai elantra sx,2012,550000,95000,petrol,individual,manual,first owner,16.3,1797.0
skoda rapid 1.6 mpi at elegance,2016,645000,11000,petrol,dealer,automatic,first owner,14.3,1598.0
mercedes-benz cla 200 cgi sport,2018,2550000,18000,petrol,dealer,automatic,first owner,15.04,1991.0
maruti ertiga zxi,2014,599000,46100,petrol,dealer,manual,first owner,16.02,1373.0
mercedes-benz new c-class c 200 avantgarde,2017,2700000,16000,petrol,dealer,automatic,first owner,14.74,1991.0
honda city v at,2017,875000,18000,petrol,dealer,automatic,first owner,15.6,1497.0
toyota glanza v cvt,2019,894999,9654,petrol,dealer,automatic,first owner,19.56,1197.0
maruti alto k10 vxi,2011,175000,11000,petrol,dealer,manual,first owner,23.95,998.0
maruti swift vxi,2012,340000,24300,petrol,dealer,manual,first owner,21.21,1197.0
toyota innova crysta 2.8 zx at bsiv,2016,1525000,42163,diesel,dealer,automatic,second owner,11.36,2755.0
tata nexon 1.5 revotorq xza plus dualtone,2018,1025000,8000,diesel,dealer,automatic,first owner,21.5,1497.0
bmw 3 series 320d luxury line,2016,2150000,30000,diesel,dealer,automatic,first owner,22.69,1995.0
toyota camry 2.5 hybrid,2016,1900000,41000,petrol,dealer,automatic,first owner,19.16,2494.0
bmw 5 series 520d luxury line,2016,2900000,12000,diesel,dealer,automatic,first owner,18.12,1995.0
toyota camry w4 (at),2009,450000,71000,petrol,dealer,automatic,first owner,12.1,2362.0
maruti ertiga bsiv zxi plus,2016,850000,20000,petrol,individual,manual,first owner,17.5,1373.0
volkswagen vento diesel highline,2011,300000,100000,diesel,individual,manual,second owner,20.54,1598.0
ford figo aspire 1.2 ti-vct trend,2018,575000,9500,petrol,individual,manual,first owner,18.16,1196.0
ford figo diesel lxi,2011,160000,120000,diesel,individual,manual,first owner,20.0,1399.0
maruti swift vxi optional,2015,515000,36600,petrol,individual,manual,first owner,20.4,1197.0
maruti wagon r amt vxi,2015,390000,50000,petrol,individual,automatic,second owner,20.51,998.0
hyundai i20 magna 1.2,2016,550000,14000,petrol,individual,manual,second owner,18.6,1197.0
maruti 800 std,1999,40000,40000,petrol,individual,manual,second owner,16.1,796.0
maruti ritz vdi,2010,220000,120000,diesel,individual,manual,first owner,21.1,1248.0
hyundai grand i10 magna,2015,425000,70000,petrol,individual,manual,first owner,18.9,1197.0
volkswagen ameo 1.0 mpi trendline,2019,480000,13000,petrol,individual,manual,first owner,19.44,999.0
hyundai grand i10 sportz,2014,400000,60000,petrol,individual,manual,second owner,18.9,1197.0
maruti swift dzire vxi,2014,487000,35000,petrol,individual,manual,first owner,19.1,1197.0
hyundai xcent 1.2 kappa s,2016,386000,44000,petrol,individual,manual,second owner,19.1,1197.0
honda city 1.5 exi,2005,100000,120000,petrol,individual,manual,second owner,13.0,1493.0
toyota corolla altis diesel d4dg,2010,300000,60000,diesel,individual,manual,first owner,21.43,1364.0
daewoo matiz sd,2000,100000,60000,petrol,individual,manual,first owner,18.5,796.0
toyota fortuner 4x2 manual,2014,1750000,30000,diesel,individual,manual,second owner,13.0,2982.0
mahindra kuv 100 mfalcon g80 k8,2016,450000,15000,petrol,individual,manual,second owner,18.15,1198.0
tata zest quadrajet 1.3 75ps xm,2017,490000,90000,diesel,individual,manual,first owner,22.95,1248.0
honda city 1.5 s mt,2009,345000,47000,petrol,individual,manual,second owner,17.0,1497.0
maruti zen lxi,2005,85000,90000,petrol,individual,manual,first owner,17.3,993.0
maruti wagon r vxi bs iv with abs,2010,215000,120600,petrol,individual,manual,second owner,18.9,998.0
hyundai verna transform sx vtvt,2010,320000,100000,petrol,individual,manual,third owner,16.2,1599.0
maruti swift dzire vxi,2016,459999,60000,petrol,individual,manual,second owner,20.85,1197.0
hyundai getz gls,2005,65000,86000,petrol,individual,manual,first owner,15.3,1341.0
hyundai elite i20 sportz plus bsiv,2020,720000,5000,petrol,individual,manual,first owner,18.6,1197.0
maruti ciaz 1.3 alpha,2017,800000,37000,diesel,individual,manual,first owner,28.09,1248.0
tata tigor 1.2 revotron xz,2019,520000,14000,petrol,individual,manual,first owner,20.3,1199.0
maruti ertiga vdi,2015,580000,70000,diesel,individual,manual,first owner,20.77,1248.0
toyota etios gd,2012,235000,120000,diesel,individual,manual,first owner,19.462816502829906,1430.789693178433
honda city i vtec s,2015,600000,50000,petrol,individual,manual,first owner,17.4,1497.0
honda brio s mt,2014,290000,60000,petrol,individual,manual,second owner,19.4,1198.0
maruti wagon r lxi cng,2016,360000,50000,cng,individual,manual,first owner,26.6,998.0
maruti swift dzire vxi,2017,550000,50000,petrol,individual,manual,first owner,20.85,1197.0
hyundai i20 sportz 1.2,2013,375000,70000,petrol,individual,manual,first owner,18.5,1197.0
maruti omni e 8 str std,2003,40000,90000,petrol,individual,manual,second owner,19.462816502829906,1430.789693178433
maruti wagon r amt vxi,2018,420000,35000,petrol,individual,automatic,first owner,20.51,998.0
maruti swift dzire vxi 1.2,2017,550000,20000,petrol,individual,manual,first owner,21.21,1197.0
maruti alto 800 lxi,2018,270000,20000,petrol,individual,manual,first owner,24.7,796.0
maruti swift dzire amt vxi bs iv,2018,700000,7800,petrol,individual,automatic,first owner,22.0,1197.0
maruti swift vxi optional,2017,500000,20000,petrol,individual,manual,first owner,20.4,1197.0
tata hexa xe,2019,1250000,15000,diesel,individual,manual,first owner,17.6,2179.0
hyundai i20 magna,2013,320000,31377,petrol,individual,manual,second owner,18.5,1197.0
maruti swift dzire vdi,2018,700000,50000,diesel,individual,manual,first owner,28.4,1248.0
maruti wagon r vxi bs iv,2015,290000,60000,petrol,individual,manual,first owner,20.51,998.0
toyota corolla altis 1.8 vl at,2012,550000,100000,petrol,individual,automatic,first owner,14.53,1794.0
honda brio s mt,2012,265000,60000,petrol,individual,manual,first owner,19.4,1198.0
maruti baleno alpha automatic,2018,830000,5000,petrol,individual,automatic,first owner,21.4,1197.0
tata safari storme ex,2017,800000,60000,diesel,individual,manual,first owner,14.1,2179.0
maruti alto lxi,2011,160000,25000,petrol,individual,manual,second owner,19.7,796.0
renault kwid rxt,2018,335000,30000,petrol,individual,manual,first owner,25.17,799.0
datsun go t bsiv,2017,329000,80000,petrol,individual,manual,second owner,20.63,1198.0
maruti vitara brezza vdi option,2017,775000,75000,diesel,individual,manual,first owner,24.3,1248.0
hyundai xcent 1.2 vtvt sx,2020,524000,32000,petrol,individual,manual,first owner,20.14,1197.0
maruti alto 800 lxi,2015,245000,40000,petrol,individual,manual,first owner,22.74,796.0
hyundai i20 1.2 sportz,2012,275000,93000,petrol,individual,manual,second owner,17.0,1197.0
tata zest revotron 1.2 xt,2018,520000,60000,petrol,individual,manual,first owner,17.57,1193.0
maruti swift 1.3 vxi,2008,130000,120000,petrol,individual,manual,second owner,19.462816502829906,1430.789693178433
nissan sunny xl,2014,550000,37000,petrol,individual,manual,first owner,16.95,1498.0
ford ecosport 1.5 petrol titanium plus bsiv,2018,910000,15000,petrol,individual,manual,first owner,17.0,1497.0
nissan micra active xv s,2015,300000,80000,petrol,individual,manual,first owner,19.49,1198.0
maruti wagon r lxi optional,2016,350000,140000,petrol,individual,manual,first owner,20.51,998.0
mahindra ssangyong rexton rx5,2013,900000,70000,diesel,individual,manual,first owner,12.83,2696.0
mahindra quanto c8,2013,300000,120000,diesel,individual,manual,second owner,17.21,1493.0
maruti ritz ldi,2010,250000,110000,diesel,individual,manual,second owner,21.1,1248.0
hyundai creta 1.6 crdi sx plus dual tone,2017,1100000,37000,diesel,individual,manual,first owner,19.67,1582.0
renault kwid rxt,2016,270000,44000,petrol,individual,manual,first owner,25.17,799.0
maruti ertiga vdi,2015,640000,80000,diesel,individual,manual,first owner,20.77,1248.0
mahindra xuv500 w4,2015,650000,125000,diesel,individual,manual,first owner,15.1,2179.0
maruti eeco 5 seater ac bsiv,2017,409999,13500,petrol,individual,manual,first owner,15.37,1196.0
hyundai santro xing gls,2011,165000,75000,petrol,individual,manual,first owner,17.92,1086.0
hyundai accent gle,2007,80000,120000,petrol,individual,manual,second owner,13.2,1495.0
mahindra xuv500 w8 2wd,2012,535000,120000,diesel,individual,manual,first owner,15.1,2179.0
toyota innova 2.5 ev (diesel) ps 7 seater bs iv,2013,700000,70000,diesel,individual,manual,first owner,12.99,2494.0
maruti swift dzire vdi,2013,550000,70000,diesel,individual,manual,first owner,23.4,1248.0
honda amaze s cvt petrol bsiv,2019,680000,15000,petrol,individual,automatic,first owner,19.0,1199.0
hyundai i10 sportz 1.2,2009,200000,53000,petrol,individual,manual,second owner,20.36,1197.0
maruti swift dzire vdi,2014,500000,120000,diesel,individual,manual,second owner,23.4,1248.0
maruti ertiga shvs zdi plus,2016,1000000,70000,diesel,individual,manual,first owner,24.52,1248.0
hyundai getz 1.3 gvs,2008,110000,120000,petrol,individual,manual,second owner,14.2,1341.0
hyundai i20 1.2 magna,2012,320000,100000,petrol,individual,manual,second owner,18.5,1197.0
tata indica dls,2005,75000,110000,diesel,individual,manual,second owner,19.462816502829906,1430.789693178433
maruti swift lxi optional-o,2015,350000,100000,petrol,individual,manual,first owner,20.4,1197.0
tata indica vista tdi ls,2013,170000,162500,diesel,individual,manual,first owner,19.4,1405.0
hyundai i20 2015-2017 asta 1.4 crdi,2017,800000,39000,diesel,individual,manual,first owner,22.54,1396.0
maruti ignis 1.3 alpha,2017,500000,75000,diesel,individual,manual,first owner,26.8,1248.0
tata hexa xta,2017,1380000,50000,diesel,individual,automatic,first owner,17.6,2179.0
mahindra marazzo m6 8str,2019,1300000,40000,diesel,individual,manual,first owner,17.3,1497.0
hyundai verna 1.6 crdi,2013,530000,92500,diesel,individual,manual,first owner,22.32,1582.0
maruti swift dzire vdi,2012,360000,158000,diesel,individual,manual,first owner,23.4,1248.0
maruti swift dzire ldi,2012,310000,120000,diesel,individual,manual,first owner,19.3,1248.0
honda city i dtec v,2015,725000,50000,diesel,individual,manual,second owner,26.0,1498.0
maruti swift dzire zdi,2012,340000,110000,diesel,individual,manual,first owner,19.3,1248.0
hyundai xcent 1.2 crdi e,2017,550000,2000,diesel,individual,manual,second owner,25.4,1186.0
toyota fortuner 3.0 diesel,2011,1150000,181000,diesel,individual,manual,second owner,11.5,2982.0
tata tiago 1.05 revotorq xz,2016,380000,70000,diesel,individual,manual,first owner,27.28,1047.0
nissan sunny xl at special edition,2013,350000,90000,petrol,individual,automatic,second owner,17.97,1498.0
hyundai elite i20 magna plus bsiv,2019,610000,2000,petrol,individual,manual,first owner,18.6,1197.0
maruti swift dzire vxi,2015,525000,20000,petrol,individual,manual,first owner,20.85,1197.0
toyota innova 2.5 gx 7 str,2011,480000,120000,diesel,individual,manual,first owner,12.8,2494.0
mahindra thar crde,2017,780000,35000,diesel,individual,manual,first owner,16.55,2498.0
maruti swift dzire zdi,2012,320000,193000,diesel,individual,manual,first owner,19.3,1248.0
maruti swift 1.2 dlx (only delhi),2014,375000,80000,petrol,individual,manual,first owner,20.4,1197.0
datsun go d petrol,2019,300000,40000,petrol,individual,manual,first owner,19.02,1198.0
hyundai i20 asta 1.4 crdi,2015,500000,70000,diesel,individual,manual,fourth & above owner,22.54,1396.0
mahindra scorpio lx,2011,404000,122358,diesel,individual,manual,first owner,12.05,2179.0
tata sumo gold ex bsiii,2015,500000,75000,diesel,individual,manual,first owner,14.07,2956.0
tata tiago wizz 1.05 revotorq,2017,350000,120000,diesel,individual,manual,first owner,27.28,1047.0
tata zest revotron 1.2 xt,2015,380000,40000,petrol,individual,manual,first owner,17.57,1193.0
hyundai accent gle,2008,114999,95200,petrol,individual,manual,third owner,13.2,1495.0
honda brio exclusive edition,2014,335000,33033,petrol,dealer,manual,first owner,19.4,1198.0
hyundai grand i10 at asta,2015,465000,63063,petrol,dealer,automatic,first owner,18.9,1197.0
tata manza club class quadrajet90 lx,2012,290000,60000,diesel,individual,manual,first owner,21.02,1248.0
maruti alto lx,2005,110000,45000,petrol,individual,manual,second owner,19.7,796.0
tata new safari dicor 2.2 ex 4x2,2011,450000,80000,diesel,individual,manual,third owner,11.57,2179.0
mahindra bolero sle,2009,400000,170000,diesel,individual,manual,second owner,13.6,2523.0
mahindra bolero di dx 7 seater,2007,210000,207890,diesel,individual,manual,second owner,13.6,2523.0
mercedes-benz gl-class 220d 4matic sport,2018,4600000,7976,diesel,individual,automatic,first owner,17.9,2143.0
maruti omni e mpi std bs iv,2016,220000,35000,petrol,individual,manual,first owner,16.8,796.0
hyundai grand i10 sportz,2017,450000,35000,petrol,individual,manual,first owner,18.9,1197.0
hyundai i10 sportz at,2013,290000,50000,petrol,individual,automatic,first owner,16.95,1197.0
maruti swift vxi deca,2016,520000,20000,petrol,individual,manual,first owner,20.4,1197.0
hyundai i10 sportz at,2011,265000,20000,petrol,individual,automatic,first owner,16.95,1197.0
maruti swift vxi,2012,330000,50000,petrol,individual,manual,second owner,18.6,1197.0
mahindra bolero 2011-2019 zlx,2014,509999,120000,diesel,individual,manual,first owner,15.96,2523.0
