name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage(km/ltr/kg),engine,car_age,km_per_year,price_per_km,brand,is_luxury,engine_category,mileage_category,is_first_owner,age_x_km,brand_avg_price
maruti vitara brezza vdi,2018,819999,32600,diesel,dealer,manual,first owner,24.3,1248.0,8,3622.222222222222,25.15257200699365,maruti,0,medium,high,1,260800,387911.1913123845
maruti alto k10 vxi,2018,390000,10300,petrol,dealer,manual,first owner,23.95,998.0,8,1144.4444444444443,37.860401902727894,maruti,0,small,high,1,82400,387911.1913123845
toyota fortuner 4x4 mt,2014,1500000,77000,diesel,dealer,manual,first owner,12.55,2982.0,12,5923.076923076923,19.480266490045583,toyota,0,premium,low,1,924000,889490.1344537815
toyota innova 2.5 g (diesel) 7 seater bs iv,2013,700000,99000,diesel,dealer,manual,first owner,12.99,2494.0,13,7071.428571428572,7.070635650144948,toyota,0,premium,low,1,1287000,889490.1344537815
mercedes-benz b class b180,2014,1450000,27800,diesel,dealer,automatic,second owner,14.8,2143.0,12,2138.4615384615386,52.15639725189742,mercedes-benz,1,premium,low,0,333600,2253347.8260869565
honda amaze s diesel,2015,425000,49800,diesel,dealer,manual,first owner,24.7,1498.0,11,4150.0,8.53396518142206,honda,0,medium,high,1,547800,573563.908839779
mitsubishi pajero sport 4x4,2013,1090000,151000,diesel,dealer,manual,first owner,13.5,2477.0,13,10785.714285714286,7.218495241753366,mitsubishi,0,premium,low,1,1963000,758636.3636363636
honda city i dtec s,2015,600000,54700,diesel,dealer,manual,first owner,26.0,1498.0,11,4558.333333333333,10.968720864335204,honda,0,medium,very_high,1,601700,573563.908839779
maruti ciaz zeta,2018,850000,64000,petrol,dealer,manual,first owner,20.65,1462.0,8,7111.111111111111,13.281042483711191,maruti,0,medium,high,1,512000,387911.1913123845
honda jazz vx diesel,2015,525000,63000,diesel,dealer,manual,first owner,27.3,1498.0,11,5250.0,8.333201060300631,honda,0,medium,very_high,1,693000,573563.908839779
toyota innova crysta 2.8 zx at bsiv,2016,1650000,127700,diesel,dealer,automatic,second owner,11.36,2755.0,10,11609.09090909091,12.920807198064228,toyota,0,premium,low,0,1277000,889490.1344537815
toyota innova 2.5 g (diesel) 7 seater,2016,950000,99000,diesel,dealer,manual,first owner,12.99,2494.0,10,9000.0,9.595862668053858,toyota,0,premium,low,1,990000,889490.1344537815
audi a6 2.0 tdi technology,2013,1750000,33900,diesel,dealer,automatic,second owner,17.68,1968.0,13,2421.4285714285716,51.62089613875697,audi,1,large,medium,0,440700,2422363.5454545454
toyota corolla altis 1.8 vl cvt,2018,1590000,25000,petrol,dealer,automatic,first owner,14.28,1798.0,8,2777.777777777778,63.59745610175593,toyota,0,large,low,1,200000,889490.1344537815
audi a6 2.0 tdi  design edition,2013,1689999,50000,diesel,dealer,automatic,first owner,18.53,1968.0,13,3571.4285714285716,33.79930401391972,audi,1,large,medium,1,650000,2422363.5454545454
mercedes-benz new c-class 220 cdi at,2013,1425000,59000,diesel,dealer,automatic,first owner,14.84,2143.0,13,4214.285714285715,24.152133014694666,mercedes-benz,1,premium,low,1,767000,2253347.8260869565
tata manza elan quadrajet bs iv,2011,265000,120000,diesel,individual,manual,first owner,21.12,1248.0,15,7500.0,2.208314930708911,tata,0,medium,high,1,1800000,344393.97836166923
hyundai i10 magna,2011,190000,110000,petrol,individual,manual,third owner,20.36,1197.0,15,6875.0,1.727257024936137,hyundai,0,medium,high,0,1650000,450973.4849921011
hyundai i20 asta 1.4 crdi,2013,425000,60000,diesel,individual,manual,first owner,21.27,1396.0,13,4285.714285714285,7.083215279745337,hyundai,0,medium,high,1,780000,450973.4849921011
maruti swift dzire zdi,2015,630000,147000,diesel,individual,manual,second owner,26.59,1248.0,11,12250.0,4.285685131393664,maruti,0,medium,very_high,0,1617000,387911.1913123845
ford figo 1.2p titanium mt,2017,600000,25000,petrol,individual,manual,third owner,18.16,1196.0,9,2500.0,23.999040038398466,ford,0,medium,medium,0,225000,504376.6925207756
maruti baleno delta 1.2,2019,650000,30000,petrol,individual,manual,first owner,21.4,1197.0,7,3750.0,21.665944468517715,maruti,0,medium,high,1,210000,387911.1913123845
volkswagen ameo 1.5 tdi highline 16 alloy,2016,540000,40000,diesel,individual,manual,first owner,22.0,1498.0,10,3636.3636363636365,13.49966250843729,volkswagen,0,medium,high,1,400000,489574.6954022989
honda city i dtec vx,2015,630000,135000,diesel,individual,manual,first owner,25.1,1498.0,11,11250.0,4.666632099021489,honda,0,medium,very_high,1,1485000,573563.908839779
maruti wagon r amt vxi,2018,448000,30000,petrol,individual,automatic,first owner,20.51,998.0,8,3333.3333333333335,14.932835572147596,maruti,0,small,high,1,240000,387911.1913123845
volkswagen ameo 1.5 tdi comfortline,2017,500000,80000,diesel,individual,manual,first owner,21.66,1498.0,9,8000.0,6.2499218759765505,volkswagen,0,medium,high,1,720000,489574.6954022989
maruti vitara brezza vdi,2016,745000,70000,diesel,individual,manual,first owner,24.3,1248.0,10,6363.636363636364,10.642705104212798,maruti,0,medium,high,1,700000,387911.1913123845
maruti vitara brezza zdi plus amt,2019,1025000,9850,diesel,individual,automatic,first owner,24.3,1248.0,7,1231.25,104.05035021825195,maruti,0,medium,high,1,68950,387911.1913123845
hyundai i10 magna,2011,235000,60000,petrol,individual,manual,second owner,20.36,1197.0,15,3750.0,3.916601389976834,hyundai,0,medium,high,0,900000,450973.4849921011
maruti swift vdi deca,2016,630000,70000,diesel,individual,manual,first owner,25.2,1248.0,10,6363.636363636364,8.999871430408136,maruti,0,medium,very_high,1,700000,387911.1913123845
toyota fortuner 4x4 mt,2015,1700000,78000,diesel,individual,manual,second owner,12.55,2982.0,11,6500.0,21.79459237702081,toyota,0,premium,low,0,858000,889490.1344537815
maruti swift star vdi,2013,450000,120000,diesel,individual,manual,second owner,22.9,1248.0,13,8571.42857142857,3.7499687502604147,maruti,0,medium,high,0,1560000,387911.1913123845
maruti ertiga zxi,2012,450000,120000,petrol,individual,manual,second owner,16.02,1373.0,14,8000.0,3.7499687502604147,maruti,0,medium,medium,0,1680000,387911.1913123845
tata indica dls,2003,50000,70000,diesel,individual,manual,first owner,19.462816502829902,1430.789693178433,23,2916.6666666666665,0.7142755103498521,tata,0,medium,medium,1,1610000,344393.97836166923
volkswagen vento diesel highline,2013,450000,170000,diesel,individual,manual,first owner,20.54,1598.0,13,12142.857142857143,2.647043252686749,volkswagen,0,large,high,1,2210000,489574.6954022989
toyota innova 2.5 vx (diesel) 8 seater,2016,1200000,140000,diesel,individual,manual,first owner,12.99,2494.0,10,12727.272727272728,8.571367347376091,toyota,0,premium,low,1,1400000,889490.1344537815
ford ecosport 1.5 tdci titanium plus bsiv,2015,610000,90000,diesel,individual,manual,first owner,22.77,1498.0,11,7500.0,6.777702469972556,ford,0,medium,high,1,990000,504376.6925207756
bmw x1 sdrive20i xline,2016,2500000,30000,petrol,individual,automatic,second owner,15.71,1998.0,10,2727.2727272727275,83.33055564814507,bmw,1,large,medium,0,300000,2770638.2978723403
maruti celerio zxi mt bsiv,2017,484999,10000,petrol,dealer,manual,first owner,23.1,998.0,9,1000.0,48.495050494950505,maruti,0,small,high,1,90000,387911.1913123845
datsun go a petrol,2016,275000,49000,petrol,dealer,manual,first owner,19.02,1198.0,10,4454.545454545455,5.612130364686435,datsun,0,medium,medium,1,490000,316017.49122807017
maruti alto 800 vxi bsiv,2016,315000,32000,petrol,dealer,manual,first owner,24.7,796.0,10,2909.090909090909,9.843442392425237,maruti,0,small,high,1,320000,387911.1913123845
maruti alto 800 lxi bsiv,2016,275000,38000,petrol,dealer,manual,first owner,24.7,796.0,10,3454.5454545454545,7.236651667061393,maruti,0,small,high,1,380000,387911.1913123845
maruti swift vdi bsiv w abs,2015,475000,78000,diesel,dealer,manual,first owner,19.462816502829902,1430.789693178433,11,6500.0,6.089665517108755,maruti,0,medium,medium,1,858000,387911.1913123845
hyundai i10 era 1.1,2012,290000,28000,petrol,dealer,manual,first owner,19.81,1086.0,14,1866.6666666666667,10.356772972393843,hyundai,0,medium,medium,1,392000,450973.4849921011
maruti omni 8 seater bsiv,2017,280000,32000,petrol,dealer,manual,first owner,14.0,796.0,9,3200.0,8.749726571044654,maruti,0,small,low,1,288000,387911.1913123845
maruti wagon r lxi lpg bsiv,2010,225000,44000,lpg,dealer,manual,first owner,26.2,998.0,16,2588.235294117647,5.11352014726938,maruti,0,small,very_high,1,704000,387911.1913123845
volkswagen polo 1.2 mpi comfortline,2015,455000,42000,petrol,dealer,manual,first owner,16.47,1198.0,11,3500.0,10.833075402966596,volkswagen,0,medium,medium,1,462000,489574.6954022989
hyundai i10 magna 1.1l,2015,351000,45000,petrol,dealer,manual,second owner,19.81,1086.0,11,3750.0,7.799826670518433,hyundai,0,medium,medium,0,495000,450973.4849921011
volkswagen vento petrol highline,2012,535000,12000,petrol,dealer,manual,second owner,15.04,1598.0,14,800.0,44.57961836513624,volkswagen,0,large,medium,0,168000,489574.6954022989
maruti zen estilo lxi bsiii,2009,175000,55500,petrol,dealer,manual,first owner,18.2,998.0,17,3083.3333333333335,3.1530963406064756,maruti,0,small,medium,1,943500,387911.1913123845
hyundai i20 asta optional with sunroof 1.2,2013,525000,61500,petrol,dealer,manual,first owner,18.5,1197.0,13,4392.857142857143,8.536446561844523,hyundai,0,medium,medium,1,799500,450973.4849921011
maruti swift dzire ldi,2016,600000,150000,diesel,individual,manual,first owner,26.59,1248.0,10,13636.363636363636,3.99997333351111,maruti,0,medium,very_high,1,1500000,387911.1913123845
hyundai xcent 1.2 kappa sx option at,2016,565000,72000,petrol,dealer,automatic,first owner,19.1,1197.0,10,6545.454545454545,7.847113234538409,hyundai,0,medium,medium,1,720000,450973.4849921011
maruti alto lx bsiii,2008,120000,68000,petrol,dealer,manual,third owner,19.7,796.0,18,3578.9473684210525,1.7646799311774828,maruti,0,small,medium,0,1224000,387911.1913123845
hyundai i20 1.4 asta option,2017,725000,110000,diesel,individual,manual,first owner,22.54,1396.0,9,11000.0,6.590849174098417,hyundai,0,medium,high,1,990000,450973.4849921011
maruti wagon r vxi,2009,185000,77000,petrol,dealer,manual,second owner,21.79,998.0,17,4277.777777777777,2.4025662004389554,maruti,0,small,high,0,1309000,387911.1913123845
tata manza aura (abs) quadrajet,2010,200000,100000,diesel,individual,manual,second owner,18.8,1248.0,16,5882.35294117647,1.999980000199998,tata,0,medium,medium,0,1600000,344393.97836166923
maruti swift vxi,2019,615000,10000,petrol,individual,manual,first owner,21.21,1197.0,7,1250.0,61.49385061493851,maruti,0,medium,high,1,70000,387911.1913123845
maruti eeco 7 seater standard bsiv,2016,270000,100000,petrol,individual,manual,third owner,15.37,1196.0,10,9090.90909090909,2.6999730002699973,maruti,0,medium,medium,0,1000000,387911.1913123845
maruti baleno zeta 1.2,2018,610000,35000,petrol,individual,manual,first owner,21.4,1197.0,8,3888.8888888888887,17.428073483614753,maruti,0,medium,high,1,280000,387911.1913123845
mahindra scorpio vlx at airbag bsiv,2014,625000,70000,diesel,individual,automatic,second owner,11.79,2179.0,12,5384.615384615385,8.928443879373152,mahindra,0,premium,low,0,840000,616710.4889196676
ford freestyle titanium petrol bsiv,2020,400000,5000,petrol,individual,manual,second owner,19.0,1194.0,6,714.2857142857143,79.98400319936013,ford,0,medium,medium,0,30000,504376.6925207756
hyundai verna vtvt 1.6 sx,2017,866000,37800,petrol,individual,manual,first owner,17.0,1591.0,9,3780.0,22.909446840030686,hyundai,0,large,medium,1,340200,450973.4849921011
volkswagen passat 1.8 tsi mt,2010,700000,114000,petrol,individual,manual,first owner,14.3,1798.0,16,6705.882352941177,6.140297014938465,volkswagen,0,large,low,1,1824000,489574.6954022989
tata indica vista aura 1.2 safire (abs) bs iv,2010,300000,48000,petrol,individual,manual,first owner,15.8,1172.0,16,2823.529411764706,6.249869794379284,tata,0,medium,medium,1,768000,344393.97836166923
mahindra xuv500 w11 option awd,2019,1700000,32000,diesel,individual,manual,first owner,15.1,2179.0,7,4000.0,53.12333989562826,mahindra,0,premium,medium,1,224000,616710.4889196676
tata indigo cs ls (tdi) bs-iii,2016,375000,100000,diesel,individual,manual,first owner,19.09,1405.0,10,9090.90909090909,3.749962500374996,tata,0,medium,medium,1,1000000,344393.97836166923
hyundai verna 1.6 sx,2013,522000,150000,diesel,individual,manual,second owner,22.32,1582.0,13,10714.285714285714,3.479976800154666,hyundai,0,large,high,0,1950000,450973.4849921011
hyundai i20 magna 1.4 crdi (diesel),2013,451999,69000,diesel,individual,manual,first owner,21.9,1396.0,13,4928.571428571428,6.550615208475239,hyundai,0,medium,high,1,897000,450973.4849921011
toyota corolla altis g,2009,300000,100000,petrol,individual,manual,second owner,14.53,1798.0,17,5555.555555555556,2.999970000299997,toyota,0,large,low,0,1700000,889490.1344537815
maruti celerio vxi,2020,475000,13000,petrol,individual,manual,first owner,21.63,998.0,6,1857.142857142857,36.535651103761246,maruti,0,small,high,1,78000,387911.1913123845
maruti vitara brezza zdi plus dual tone,2016,780000,60000,diesel,individual,manual,first owner,24.3,1248.0,10,5454.545454545455,12.999783336944384,maruti,0,medium,high,1,600000,387911.1913123845
maruti swift dzire vxi,2017,595000,40000,petrol,individual,manual,first owner,20.85,1197.0,9,4000.0,14.874628134296643,maruti,0,medium,high,1,360000,387911.1913123845
maruti wagon r vxi bs iv,2017,440000,35000,petrol,individual,manual,first owner,20.51,998.0,9,3500.0,12.5710693980172,maruti,0,small,high,1,315000,387911.1913123845
maruti swift vdi bsiv,2010,300000,120000,diesel,individual,manual,second owner,19.462816502829902,1430.789693178433,16,7058.823529411765,2.4999791668402764,maruti,0,medium,medium,0,1920000,387911.1913123845
nissan terrano xl 85 ps,2014,400000,70000,diesel,individual,manual,third owner,20.45,1461.0,12,5384.615384615385,5.714204082798817,nissan,0,medium,high,0,840000,456616.38356164383
hyundai creta 1.6 crdi sx,2016,1140000,50000,diesel,individual,manual,first owner,19.67,1582.0,10,4545.454545454545,22.799544009119817,hyundai,0,large,medium,1,500000,450973.4849921011
ford ecosport 1.5 diesel titanium plus bsiv,2017,850000,76139,diesel,individual,manual,first owner,23.0,1498.0,9,7613.9,11.163645915418964,ford,0,medium,high,1,685251,504376.6925207756
maruti swift dzire vdi,2012,370000,175000,diesel,individual,manual,fourth & above owner,19.3,1248.0,14,11666.666666666666,2.1142736327220986,maruti,0,medium,medium,0,2450000,387911.1913123845
renault kwid 1.0,2018,350000,25000,petrol,individual,manual,first owner,23.01,999.0,8,2777.777777777778,13.999440022399105,renault,0,small,high,1,200000,449694.1359223301
maruti celerio vxi,2015,360000,40000,petrol,individual,manual,second owner,23.1,998.0,11,3333.3333333333335,8.99977500562486,maruti,0,small,high,0,440000,387911.1913123845
maruti alto lxi,2008,105000,65000,petrol,individual,manual,fourth & above owner,19.7,796.0,18,3421.0526315789475,1.6153597636959431,maruti,0,small,medium,0,1170000,387911.1913123845
maruti ertiga vdi,2013,625000,90000,diesel,individual,manual,second owner,20.77,1248.0,13,6428.571428571428,6.944367284807947,maruti,0,medium,high,0,1170000,387911.1913123845
hyundai santro xing gls,2009,135000,80000,petrol,individual,manual,second owner,17.92,1086.0,17,4444.444444444444,1.6874789065136686,hyundai,0,medium,medium,0,1360000,450973.4849921011
maruti ertiga vdi,2015,700000,110000,diesel,individual,manual,second owner,20.77,1248.0,11,9166.666666666666,6.36357851292261,maruti,0,medium,high,0,1210000,387911.1913123845
honda amaze s i-vtec,2019,690000,1303,petrol,dealer,manual,first owner,17.8,1198.0,7,162.875,529.1411042944785,honda,0,medium,medium,1,9121,573563.908839779
audi q5 35tdi premium plus,2018,3975000,31800,diesel,dealer,automatic,first owner,17.01,1968.0,8,3533.3333333333335,124.99606930599667,audi,1,large,medium,1,254400,2422363.5454545454
lexus es 300h,2019,5150000,20000,petrol,dealer,automatic,first owner,22.37,2487.0,7,2500.0,257.48712564371783,lexus,1,premium,high,1,140000,5150000.0
jaguar xf 2.0 diesel portfolio,2017,3200000,45000,diesel,dealer,automatic,first owner,19.33,1999.0,9,4500.0,71.10953089931336,jaguar,1,large,medium,1,405000,2748250.0
jeep wrangler 2016-2019 3.6 4x4,2017,4100000,17000,petrol,individual,automatic,first owner,9.5,3604.0,9,1700.0,241.1622845714958,jeep,1,premium,low,1,153000,1789227.2272727273
land rover discovery sport td4 se,2019,4500000,21000,diesel,dealer,automatic,first owner,12.83,1999.0,7,2625.0,214.27551068996715,land,1,large,low,1,147000,2716666.6666666665
mercedes-benz s-class s 350 cdi,2017,6000000,37000,diesel,dealer,automatic,first owner,13.5,2987.0,9,3700.0,162.15777951947246,mercedes-benz,1,premium,low,1,333000,2253347.8260869565
bmw 5 series 520d sport line,2018,3790000,29500,diesel,dealer,automatic,first owner,22.48,1995.0,8,3277.777777777778,128.47022134842888,bmw,1,large,high,1,236000,2770638.2978723403
bmw x1 sdrive 20d xline,2017,2150000,27000,diesel,dealer,automatic,first owner,19.462816502829902,1430.789693178433,9,2700.0,79.62668049331506,bmw,1,medium,medium,1,243000,2770638.2978723403
bmw x4 m sport x xdrive20d,2019,5800000,7500,diesel,dealer,automatic,first owner,16.78,1995.0,7,937.5,773.2302359685375,bmw,1,large,medium,1,52500,2770638.2978723403
skoda superb lk 1.8 tsi at,2018,1864999,50000,petrol,dealer,automatic,first owner,14.67,1798.0,8,5555.555555555556,37.29923401531969,skoda,0,large,low,1,400000,591442.8142857143
mercedes-benz e-class e250 edition e,2016,2700000,35000,diesel,dealer,automatic,first owner,15.0,2143.0,10,3181.818181818182,77.14065312419645,mercedes-benz,1,premium,medium,1,350000,2253347.8260869565
mg hector sharp at bsiv,2019,1750000,19000,petrol,dealer,automatic,first owner,13.96,1451.0,7,2375.0,92.10041576759117,mg,0,medium,low,1,133000,1783333.3333333333
honda city i-vtec cvt vx,2017,795000,41000,petrol,dealer,automatic,first owner,18.0,1497.0,9,4100.0,19.389770981195582,honda,0,medium,medium,1,369000,573563.908839779
toyota corolla altis 1.8 g cvt,2013,625000,39000,petrol,dealer,automatic,first owner,14.28,1798.0,13,2785.714285714286,16.025230122304556,toyota,0,large,low,1,507000,889490.1344537815
volvo xc40 d4 r-design,2018,3400000,22000,diesel,dealer,automatic,first owner,18.0,1969.0,8,2444.4444444444443,154.53843007136038,volvo,1,large,medium,1,176000,3290625.0
audi q7 35 tdi quattro premium,2015,2650000,53000,diesel,dealer,automatic,first owner,12.07,2967.0,11,4416.666666666667,49.999056621573175,audi,1,premium,low,1,583000,2422363.5454545454
maruti ciaz zdi,2015,535000,40000,diesel,dealer,manual,first owner,26.21,1248.0,11,3333.3333333333335,13.374665633359166,maruti,0,medium,very_high,1,440000,387911.1913123845
mercedes-benz s-class s 350 cdi,2017,5850000,47000,diesel,dealer,automatic,first owner,13.5,2987.0,9,4700.0,124.46543690559776,mercedes-benz,1,premium,low,1,423000,2253347.8260869565
bmw 5 series 523i,2010,975000,72200,petrol,dealer,automatic,second owner,10.8,2497.0,16,4247.058823529412,13.503968089084639,bmw,1,premium,low,0,1155200,2770638.2978723403
hyundai elantra s,2016,805000,49900,petrol,dealer,manual,first owner,16.3,1797.0,10,4536.363636363636,16.131941243662453,hyundai,0,large,medium,1,499000,450973.4849921011
jaguar xe 2016-2019 2.0l diesel prestige,2017,2625000,9000,diesel,dealer,automatic,first owner,13.6,1999.0,9,900.0,291.6342628596823,jaguar,1,large,low,1,81000,2748250.0
tata nexon 1.2 revotron xz plus dual tone,2018,811000,11000,petrol,dealer,manual,first owner,17.0,1198.0,8,1222.2222222222222,73.7205708571948,tata,0,medium,medium,1,88000,344393.97836166923
